route_id,direction,order,stop_name,time_to_next,direction_name
262,2,102,重慶南路三段（中正橋）,1,往宏國德霖科技大學
262,2,103,捷運頂溪站,2,往宏國德霖科技大學
262,2,104,中興街口,2,往宏國德霖科技大學
262,2,105,豫溪街口（中正路）,1,往宏國德霖科技大學
262,2,106,大新街,1,往宏國德霖科技大學
262,2,107,福和里,1,往宏國德霖科技大學
262,2,108,永和國小,2,往宏國德霖科技大學
262,2,109,得和路口,1,往宏國德霖科技大學
262,2,110,中興新村,1,往宏國德霖科技大學
262,2,111,中興二村,2,往宏國德霖科技大學
262,2,112,智光商職,1,往宏國德霖科技大學
262,2,113,南勢角（景平路）,1,往宏國德霖科技大學
262,2,114,中和教會,1,往宏國德霖科技大學
262,2,115,捷運景安站（景平路）,1,往宏國德霖科技大學
262,2,116,南華路口,1,往宏國德霖科技大學
262,2,117,中和區公所（景平路）,1,往宏國德霖科技大學
262,2,118,連城路口,2,往宏國德霖科技大學
262,2,119,捷運中和站（中山路）,1,往宏國德霖科技大學
262,2,120,家美工業區,1,往宏國德霖科技大學
262,2,121,中和保養廠,1,往宏國德霖科技大學
262,2,122,捷運橋和站,1,往宏國德霖科技大學
262,2,123,中山錦和路口,1,往宏國德霖科技大學
262,2,124,中原里,1,往宏國德霖科技大學
262,2,125,平河里,1,往宏國德霖科技大學
262,2,126,中正路,0,往宏國德霖科技大學
262,2,127,心中市,1,往宏國德霖科技大學
262,2,128,連城路,1,往宏國德霖科技大學
262,2,129,中和高中,1,往宏國德霖科技大學
262,2,130,駕訓中心,1,往宏國德霖科技大學
262,2,131,變電所,2,往宏國德霖科技大學
262,2,132,平和里,1,往宏國德霖科技大學
262,2,133,永豐路口,1,往宏國德霖科技大學
262,2,134,清水國小,1,往宏國德霖科技大學
262,2,135,臺灣新北地方法院（金城）,1,往宏國德霖科技大學
262,2,136,中正國中,1,往宏國德霖科技大學
262,2,137,裕民路口（金城路）,1,往宏國德霖科技大學
262,2,138,學士路口,1,往宏國德霖科技大學
262,2,139,新北高工（學府）,0,往宏國德霖科技大學
262,2,140,裕民路口（學府路）,2,往宏國德霖科技大學
262,2,141,廣福國小,1,往宏國德霖科技大學
262,2,142,廣福里,1,往宏國德霖科技大學
262,2,143,土城看守所,1,往宏國德霖科技大學
262,2,144,臺灣新北地方法院（青雲）,1,往宏國德霖科技大學
262,2,145,清水,1,往宏國德霖科技大學
262,2,146,清水派山所,1,往宏國德霖科技大學
262,2,147,檳榔科,1,往宏國德霖科技大學
262,2,148,清和里,2,往宏國德霖科技大學
262,2,149,宏國德霖科技大學,1,往宏國德霖科技大學
,,,,,
262區,1,1,中和保養廠,2,往民生社區
262區,1,2,家美工業區,1,往民生社區
262區,1,3,捷運中和站（中山路）,1,往民生社區
262區,1,4,連城路口,2,往民生社區
262區,1,5,中和區公所（景平路）,1,往民生社區
262區,1,6,南華路口,1,往民生社區
262區,1,7,捷運景安站（景平路）,3,往民生社區
262區,1,8,中和教會,3,往民生社區
262區,1,9,智光商職,1,往民生社區
262區,1,10,中興二村,1,往民生社區
262區,1,11,中興新村,1,往民生社區
262區,1,12,得和路口,1,往民生社區
262區,1,13,永和國小,2,往民生社區
262區,1,14,福和里,1,往民生社區
262區,1,15,大新街,1,往民生社區
262區,1,16,正興里,1,往民生社區
262區,1,17,捷運頂溪站,2,往民生社區
262區,1,18,中正橋頭,1,往民生社區
262區,1,19,重慶南路三段（中正橋）,2,往民生社區
262區,1,20,寧波重慶路口,2,往民生社區
262區,1,21,中正二分局,1,往民生社區
262區,1,22,一女中（重慶）,2,往民生社區
262區,1,23,博愛路,2,往民生社區
262區,1,24,臺北郵局,2,往民生社區
262區,1,25,臺北車站（忠孝）,2,往民生社區
262區,1,26,捷運善導寺站,2,往民生社區
262區,1,27,華山文創園區,1,往民生社區
262區,1,28,忠孝國小,2,往民生社區
262區,1,29,臺北科技大學（忠孝）,1,往民生社區
262區,1,30,正義郵局,2,往民生社區
262區,1,31,懷生國中,1,往民生社區
